2020-01-28 13:06:07, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, LEAVE, Leave credit created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, BACKUP, Database backup created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, LEAVE, Leave credit created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, BACKUP, Database backup created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LEAVE, Leave credit created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, BACKUP, Database backup created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LEAVE, Leave credit created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, BACKUP, Database backup created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
2020-02-22 23:27:17, LOAN, Loan created! 
2020-02-22 23:27:17, SHIFT, Shift created! 
